Cambodia	imports	wordnet_motor_vehicle_103791235
Papua_New_Guinea	imports	wordnet_fuel_114875077
Russia	imports	wordnet_vehicle_104524313
Niger	imports	wordnet_petroleum_114980579
Ethiopia	imports	wordnet_fabric_103309808
Lesotho	imports	wordnet_food_100021265
Mozambique	imports	wordnet_machinery_103701640
Netherlands	imports	wordnet_chemical_114806838
Canada	imports	wordnet_chemical_114806838
Ethiopia	imports	wordnet_machinery_103701640
Nauru	imports	wordnet_fuel_114875077
Philippines	imports	wordnet_chemical_114806838
Cuba	imports	wordnet_food_100021265
Belarus	imports	wordnet_chemical_114806838
El_Salvador	imports	wordnet_electricity_111449907
Portugal	imports	wordnet_foodstuff_107566340
Sweden	imports	wordnet_clothing_103051540
Cameroon	imports	wordnet_food_100021265
Andorra	imports	wordnet_consumer_goods_103093574
Chile	imports	wordnet_vehicle_104524313
United_Kingdom	imports	wordnet_machinery_103701640
Albania	imports	wordnet_fabric_103309808
Egypt	imports	wordnet_chemical_114806838
Andorra	imports	wordnet_food_100021265
Cape_Verde	imports	wordnet_fuel_114875077
Kyrgyzstan	imports	wordnet_foodstuff_107566340
British_Virgin_Islands	imports	wordnet_car_102958343
Belgium	imports	wordnet_pharmaceutical_103920989
Honduras	imports	wordnet_foodstuff_107566340
Tunisia	imports	wordnet_chemical_114806838
Barbados	imports	wordnet_consumer_goods_103093574
Pakistan	imports	wordnet_petroleum_114980579
Bangladesh	imports	wordnet_foodstuff_107566340
Lesotho	imports	wordnet_machinery_103701640
Eritrea	imports	wordnet_food_100021265
Central_African_Republic	imports	wordnet_fabric_103309808
Spain	imports	wordnet_fuel_114875077
Spain	imports	wordnet_consumer_goods_103093574
Grenada	imports	wordnet_chemical_114806838
Czech_Republic	imports	wordnet_chemical_114806838
Kuwait	imports	wordnet_food_100021265
El_Salvador	imports	wordnet_fuel_114875077
Republic_of_Macedonia	imports	wordnet_car_102958343
Finland	imports	wordnet_chemical_114806838
Kuwait	imports	wordnet_clothing_103051540
Rwanda	imports	wordnet_foodstuff_107566340
Pakistan	imports	wordnet_machinery_103701640
Malaysia	imports	wordnet_plastic_114592610
Netherlands	imports	wordnet_clothing_103051540
Lesotho	imports	wordnet_vehicle_104524313
East_Timor	imports	wordnet_machinery_103701640
Indonesia	imports	wordnet_chemical_114806838
Sudan	imports	wordnet_foodstuff_107566340
Switzerland	imports	wordnet_fabric_103309808
El_Salvador	imports	wordnet_foodstuff_107566340
Burkina_Faso	imports	wordnet_foodstuff_107566340
Germany	imports	wordnet_vehicle_104524313
Palestinian_territories	imports	wordnet_consumer_goods_103093574
Venezuela	imports	wordnet_car_102958343
Georgia_(country)	imports	wordnet_sugar_107859284
Panama	imports	wordnet_vehicle_104524313
Kosovo	imports	wordnet_chemical_114806838
Puerto_Rico	imports	wordnet_fish_102512053
Niger	imports	wordnet_rice_107804323
Peru	imports	wordnet_plastic_114592610
Estonia	imports	wordnet_plastic_114592610
Liechtenstein	imports	wordnet_motor_vehicle_103791235
Gabon	imports	wordnet_chemical_114806838
Falkland_Islands	imports	wordnet_fuel_114875077
Uzbekistan	imports	wordnet_foodstuff_107566340
Germany	imports	wordnet_foodstuff_107566340
Colombia	imports	wordnet_consumer_goods_103093574
Cambodia	imports	wordnet_gold_113371760
Niger	imports	wordnet_machinery_103701640
Paraguay	imports	wordnet_tobacco_104442831
Benin	imports	wordnet_foodstuff_107566340
Republic_of_Macedonia	imports	wordnet_chemical_114806838
The_Gambia	imports	wordnet_foodstuff_107566340
East_Timor	imports	wordnet_food_100021265
Taiwan	imports	wordnet_electronics_106099269
Kosovo	imports	wordnet_foodstuff_107566340
Mauritania	imports	wordnet_food_100021265
India	imports	wordnet_machinery_103701640
Gibraltar	imports	wordnet_fuel_114875077
Nigeria	imports	wordnet_chemical_114806838
Comoros	imports	wordnet_consumer_goods_103093574
Zambia	imports	wordnet_clothing_103051540
Cape_Verde	imports	wordnet_foodstuff_107566340
Central_African_Republic	imports	wordnet_pharmaceutical_103920989
Bangladesh	imports	wordnet_fabric_103309808
Azerbaijan	imports	wordnet_foodstuff_107566340
Botswana	imports	wordnet_fabric_103309808
